IsActive,Number,Name,Date,Notes,Barcode,ArticleAccountCoding,Unit,NetPrice,EU,stock,PurchasePrice,StockBalance,price_with_taxes,price_with_taxes (-20%)
TRUE,CB20020,(FD-406) - Drivaksel,1633427493,,,90,PCE,,93,2,1004.4,,3340,2672
TRUE,CLUTCH200,(FD-172A) - Drivaksel venstre,1633427494,,,90,PCE,,66,2,712.8,,2890,2312
TRUE,DK10002,(FD-134)- (FD-156)- Drivaksel venstre,1633427495,,,90,PCE,,48,2,518.4,,2400,1920
TRUE,DK10003,(HO-233A) - Drivaksel høyre,1633427496,,,90,PCE,,57,2,615.6,,2900,2320
TRUE,DK10028,(HO-222A) - Drivaksel høyre,1633427497,,,90,PCE,,56,2,604.8,,2180,1744
TRUE,DK10030,(HO-122A) - Drivaksel venstre,1633427498,,,90,PCE,,50,2,540,,2180,1744
TRUE,DK10035,(HO-234A) - Drivaksel høyre,1633427499,,,90,PCE,,58,2,626.4,,2650,2120
TRUE,DK10038,(HO-158) - Drivaksel venstre,1633427500,,,90,PCE,,71,2,766.8,,3180,2544
TRUE,DK10041,(NI-307) - Drivaksel,1633427501,,,90,PCE,,98,2,1058.4,,2584,2067.2
TRUE,DK10053,(NI-130A) - Drivaksel venstre,1633427502,,,90,PCE,,50,2,540,,1350,1080
TRUE,DK10054,(NI-271) - Drivaksel høyre,1633427503,,,90,PCE,,86,2,928.8,,3125,2500
TRUE,DK10060,(NI-171) - Drivaksel venstre,1633427504,,,90,PCE,,75,2,810,,2999,2399.2
TRUE,DK10067,(NI-137A) - Drivaksel venstre,1633427505,,,90,PCE,,44,2,475.2,,1480,1184
TRUE,DK10072,(VW-154) - Drivaksel venstre,1633427506,,,90,PCE,,48,2,518.4,,2190,1752
TRUE,DK10074,(VW-420) - Drivaksel,1633427507,,,90,PCE,,63,2,680.4,,2550,2040
TRUE,DK10096,(VW-140A) - Drivaksel venstre,1633427508,,,90,PCE,,53,2,572.4,,1850,1480
TRUE,DK10105,(VW-150) - Drivaksel venstre,1633427509,,,90,PCE,,50,2,540,,1980,1584
TRUE,DK10130,(VW-302A) - Drivaksel,1633427510,,,90,PCE,,52,2,561.6,,1890,1512
TRUE,DK10132,(OP-106A) - Drivaksel venstre,1633427511,,,90,PCE,,49,2,529.2,,1690,1352
TRUE,DK10133,(OP-110A)- (OP-109A)- Drivaksel,1633427512,,,90,PCE,,43,2,464.4,,1900,1520
TRUE,DK10141,(OP-123) - Drivaksel venstre,1633427513,,,90,PCE,,70,2,756,,2300,1840
TRUE,DK10142,(OP-203A) - Drivaksel høyre,1633427514,,,90,PCE,,48,2,518.4,,1770,1416
TRUE,DK10145,(OP-217A) - Drivaksel høyre,1633427515,,,90,PCE,,54,2,583.2,,2190,1752
TRUE,DK10148,(VW-243A) - Drivaksel høyre,1633427516,,,90,PCE,,57,2,615.6,,1990,1592
TRUE,DK10152,(VW-203)- Drivaksel höyre,1633427517,,,90,PCE,,49,2,529.2,,2199,1759.2
TRUE,DK10155,(VW-504) - Drivaksel,1633427518,,,90,PCE,,107,2,1155.6,,3680,2944
TRUE,DK10164,(VW-286) - Drivaksel høyre,1633427519,,,90,PCE,,61,2,658.8,,2690,2152
TRUE,DK10171,(VW-230) - Drivaksel høyre,1633427520,,,90,PCE,,46,2,496.8,,1390,1112
TRUE,DK10191,(VW-234) - Drivaksel høyre,1633427521,,,90,PCE,,47,2,507.6,,2172,1737.6
TRUE,DK10211,(VW-240A) - Drivaksel høyre,1633427522,,,90,PCE,,51,2,550.8,,2450,1960
TRUE,DK10223,(PG-123) - Drivaksel venstre,1633427523,,,90,PCE,,60,2,648,,1790,1432
TRUE,DK10244,(HY-29659) -  (1214-CAMTRH) - Drivaksel,1633427524,,,90,PCE,,54,2,583.2,,2680,2144
TRUE,DK10247,(HY-2174) -  (HY174RN) - Drivaksel,1633427525,,,90,PCE,,130,2,1404,,2800,2240
TRUE,DK10249,(HY-1150) -  (1214-SOLLH) - Drivaksel,1633427526,,,90,PCE,,43,2,464.4,,1990,1592
TRUE,DK10255,(PG-205A1) Drivaksel høyre,1633427527,,,90,PCE,,49,2,529.2,,1500,1200
TRUE,DK10263,(PG-107) - Drivaksel venstre,1633427528,,,90,PCE,,46,2,496.8,,1890,1512
TRUE,DK10267,(PG-105A1) - Drivaksel venstre,1633427529,,,90,PCE,,46,2,496.8,,1650,1320
TRUE,DK10268,(AD-102A) - Drivaksel venstre,1633427530,,,90,PCE,,49,2,529.2,,2190,1752
TRUE,DK10280,(VW-246) - Drivaksel høyre,1633427531,,,90,PCE,,96,2,1036.8,,2945,2356
TRUE,DK10282,(KA-218A) - Drivaksel høyre,1633427532,,,90,PCE,,65,2,702,,2650,2120
TRUE,DK10295,AD-114A (AD-106A) (203057) - Drivaksel,1633427533,,,90,PCE,,54,2,583.2,,2200,1760
TRUE,DK10296,(AD-506) - Drivaksel,1633427534,,,90,PCE,,102,2,1101.6,,2890,2312
TRUE,DK10300,(AD-113A) - Drivaksel venstre,1633427535,,,90,PCE,,63,2,680.4,,2150,1720
TRUE,DK10302,(MI-130A) - Drivaksel venstre,1633427536,,,90,PCE,,42,2,453.6,,1699,1359.2
TRUE,DK10306,SB-205A -((SA112ARN))- Drivaksel,1633427537,,,90,PCE,,77,2,831.6,,2890,2312
TRUE,DK10308,(CT-212A) - Drivaksel høyre,1633427538,,,90,PCE,,62,2,669.6,,1690,1352
TRUE,DK10310,(MI-296) - Drivaksel høyre,1633427539,,,90,PCE,,84,2,907.2,,3325,2660
